universidad;candidateId
Ucv;630633fa1e599d0009d6dee0
José Gálvez;630633fa1e599d0009d6dee0
Universidad Peruana De Ciencias Aplicadas - Upc;63063bda29da5b00089fb224
Centro Peruano De  Estudios Bancarios - Cepeban;63063bda29da5b00089fb224
Instituto De Formación Bancaria - Ifb;630644da1e599d0009d6e2f4
Certus;63064ec3d7fa700008e7ed19
Cepeban;63064fc2e86a980008de8c83
Ifb Certus;630653281e599d0009d6e817
Instituto Superior Sise;63065b8529da5b00089fbb2f
Argentina;63065d9d0b25100008421575
Ifb Certus;630665b8594e18004af047fc
I. E 00 María Auxiliadora, Cercado De Lima;630665b8594e18004af047fc
Zegel Ipae;630665b8594e18004af04803
Instituto Superior Tecnologico Idat;630665b8594e18004af04810
Universidad Privada Del Norte - Upn;630665b8594e18004af04816
Ifb Certus;630665b8594e18004af0481e
Universidad Nacional Agraria La Molina;630665b8594e18004af04825
Instituto Superior Sise;630665b8594e18004af0482e
Universidad Privada San Juan Bautista;630665b8594e18004af04835
Instituto De Educación Superior Privado Certus;630665b8594e18004af0483b
Universidad Peruana De Ciencias Aplicadas (upc);630665b8594e18004af04842
Idat;630665b8594e18004af0484f
Manuel Scorza Torres;630665b8594e18004af0484f
Instituto Cepeban;630665b8594e18004af04856
Universidad De Ciencias Aplicadas;630665b8594e18004af0485d
Universidad Peruana De Ciencias Aplicadas - Upc;630665b8594e18004af04864
Certus;630665b8594e18004af0486d
Certus;630665b8594e18004af04876
Sise;630665b8594e18004af0487f
Ifb Certus;630665b8594e18004af04885
Certus;630665b8594e18004af0488c
San Juan De Siguas;630665b8594e18004af04893
Universidad Cesar Vallejo;630665b8594e18004af0489e
Universidad Nacional De San Agustín;630665b8594e18004af048a6
Alonso De Alvarado;630665b8594e18004af048ae
Ifb Certus;630665b8594e18004af048b4
Instituto Superior Sise;630665b8594e18004af048b4
Instituto Sise;630665b8594e18004af048bd
Instituto San Ignacio Del Loyola;630665b8594e18004af048c3
Universidad Tecnológica Del Perú;630665b8594e18004af048ca
Atento;630665b8594e18004af048ca
Universidad Nacional Mayor De San Marcos;630665b8594e18004af048d7
Ifb Certus;630665b8594e18004af048df
Ie Jhon F Kennedy;630665b8594e18004af048df
Upn;630665b8594e18004af048e7
Iestp Cepea;630665b8594e18004af048e7
Certus;630665b8594e18004af048f0
Certus Ifb;630665b8594e18004af048f7
Universidad Privada San Juan Bautista;630665b8594e18004af048fe
I.e.p.p San Vicente De Paúl-ica;630665b8594e18004af048fe
Universidad Tecnológica Del Perú;630665b8594e18004af04907
Instituto San Ignacio De Loyola;630665b8594e18004af0490e
Certus;630665b8594e18004af04915
Certus;630665b8594e18004af0491b
Instituto De Educación Superior Tecnológico Privado “khipu”;630665b8594e18004af04922
I.e.m. Diego Quispe Tito;630665b8594e18004af04922
Uladech;630665b8594e18004af0492b
Instituto De Formación Bancaria - Ifb;630665b8594e18004af04933
Universidad Peruana De Ciencias Aplicada;630665b8594e18004af0493a
Cepeban;630665b8594e18004af04940
Universidad Privada Del Norte;630665b8594e18004af04947
Sise;630665b8594e18004af0494e
San Ignacio De Loyola;630665b8594e18004af0495a
Certus;630665b8594e18004af04967
Universidad Particular De Chiclayo;630665b8594e18004af04975
Cesca;630665b8594e18004af0497c
Idat;630665b8594e18004af04982
Miguel Grau Seminario;630665b8594e18004af04982
Universidad Nacional De Piura;630665b8594e18004af0498a
Isil;630665b8594e18004af04991
Instituto De Formación Bancaria - Ifb;630665b8594e18004af04999
Idat;630665b8594e18004af0499f
Ifb Certus;630665b8594e18004af049a6
Cibertec;630665b8594e18004af049ad
Instituto Idiomas Católica;630665b8594e18004af049ad
Universidad César Vallejo;630665b8594e18004af049b7
Iestp 4 De Junio De 82;630665b8594e18004af049bf
Universidad Nacional De Jaén;630665b8594e18004af049bf
Universidad Tecnológica Del Perú;630665b8594e18004af049c7
Certus;630665b8594e18004af049dc
Istp Perú Pacifico;630665b8594e18004af049e5
Universidad Nacional Mayor De San Marcos;630665b8594e18004af049ed
Certus;630665b8594e18004af049f4
